Çok iyi. Tesekkurler..
çok iyi ve hızlı bir ürün
teşekkürler...
Gerçekten kullanmasını bilene çok iyi orta segmet alına bilecek bir telefob
Kargo yavaş gelmedi şansıma 3 gün sonra yola çıkardı Hepsi burada. Ptt kargo çok yavaş 1 haftada zor getirdi ürünü. Ürün güzel anneme başlangıç seviyesi telefon olarak aldım memnunuz. Kargolamayı sıkıntı yapmıyorum 100 lira indirim için 1 hafta beklemeye değer.
Daha önce kötü tecrübem sonrası Samsung Türkiye Garantili olmasına özellikle dikkat ettim, teşekkürler.
fiyatinin dusmesini bekliyodum gecen hafta sali aksami sipariz verdim cuma gunu elime sorunsuz ulasti telefon genel olarak guzeldir.oyun oynamam pek bu konuda birsey diyemicem ama sorun cikaricagini sanmiyorum sarj  bir bucuk iki gun gidiyor ben memnunum tavsiye ederim.
telefon paketlenmesi çok iyi parasına göre çok harika telefon fakat kargo çok uzun sürdü yinede teşekkürler
oldukça iyi telefon , parasının karşılığını fazlasıyla veriyor
Fiyat konusu olsun özellikleri olsun harika tek kelimeyle samsunga helal olsun ama o kadar para veriyoruz ve kulaklığı kulak içi kulaklık bile değil !
GÜZEL
1000 ve 1500 tl arası alınacak telefonlardan birisi diyebilirim üstü telefonlarla kıyaslama yapmayın en büyük özelliği de 5000 mah olması şarj konusunda gerisi bildiniz samsung 🥰🥰🥰
Telefon konusunda gayet başarılı özelliklede şarj 5000 mah olmasi gayet güzel satıcıya teşekkür ederim özelliklede kargoyu getiren Celal Yılmaz beye çok teşekkür ediyorum kargo konusunda yardımcı olduğu için
teşekkür ederiz.
Biz beğendik.
hizmet kalite çok güzel teşekkürler
anlatıldığı  gibi iyi fiyat iyi alışveriş
Teslim tarihinden daha erken geldi.Ürün gayet güzel paketlenmişti.İnternetten yaptığım en güzel ve en hızlı alışveriş oldu👍
İyi
arkadaşlar bu fiyat aralığındaki tüm telefonları inceleyip kıyaslama yaptım ve m20 ye karar verdim bir haftadır kullanıyorum gayet sorunsuz bir cihaz olumsuz yorum yazanlar bu fiyat aralığındaki bir telefondan ne bekliyor anlamadım. şunu da unutmamak gerekir ki elektronik birazda şans işidir ben alırım 5 sene sorunsuz kullanırım başkası alır arızalı çıkar. tabiki herkes fikrinde özgürdür  saygı duyarım
Ürünüm eksiksiz ve sorunsuz bi şekilde elime ulaştı. Tamda istediğimiz ve beklediğimiz gibi. Teşekkürler hepsi burada
Güzel ürün
